0	१ जानेवारी २०१९ पासून राज्य शासनाच्या कर्मचाऱ्यांना लागू असलेल्या महागाई भत्यात किती वाढ झाली आहे?
1	कोरोना साथीच्या प्रादुर्भावादरम्यान राज्यातील कंत्राटदारांच्या अडचणीसंदर्भात कोणकोणत्या उपाययोजना करण्यात आल्या होत्या?
2	अर्थसंकल्पीय अधिवेशनासाठी विधानमंडळ सदस्य व इतरांना वाटप करण्यासाठी किती बॅग्ज खरेदी करण्यात आल्या आणि त्यावरील एकूण खर्च किती झाला?
3	राज्य शासकीय कर्मचाऱ्यांच्या घरबांधणी संदर्भातील अग्रिम रकमेबाबत शासनाचे धोरण काय आहे?
4	राज्य शासकीय कर्मचाऱ्यांच्या घरबांधणी संदर्भातील अग्रिम रकमेबाबत शासनाच्या अटी व शर्ती काय आहेत?
5	कोरोना महामारी आणि त्यादरम्यान लावण्यात आलेल्या लॉकडाउन (टाळेबंदी) मुळे राज्य सरकारने पुरवणी मागण्या संदर्भात कोणते धोरण अंगीकारले होते?
6	a) कापसाचे चुकारे शेतक-यांना अदा करण्यासाठी महाराष्ट्र राज्य सहकारी कापूस उत्पादक पणन महासंघाने किती रुपयांचे कर्ज घेतले होते? b) या कर्जावर थकहमी देताना शासनाने कोणत्या अटी टाकल्या आहेत?
7	महाराष्ट्र शासनाची लॉटरी सोडतीची कार्यपद्धती काय आहे?
8	कोविड -१९ च्या प्रादुर्भाव वाढल्याने शासनाच्या निवृत्तीवेतन धोरणात कोणते बदल करण्यात आले होते?
9	कोव्हिड - १९ संबंधित कर्तव्य बजावताना कोव्हिडमुळे मृत्यु होणा-या कर्मचा-यांना अनुदान देण्यासाठी कोणत्या अटी घालण्यात आल्या होत्या?
10	भारतीय कपास निगम यांच्या वतीने खरेदी केलेल्या कापसाची देणी शेतकऱ्यांना वेळीच अदा करण्यासाठी राज्य शासनाने दिलेल्या हमी अंतर्गत किती रुपयांचे कर्ज आणि व्याजदर निश्चित करण्यात आला होता?
11	कोव्हीड १९ सार्वत्रिक साथरोगाच्या संक्रमणाला आळा घालण्यासाठी शासनाने कर्मचाऱ्यांच्या उपस्थिती संदर्भात कोणते धोरण अवलंबले होते?
12	केंद्र शासनाचा दिव्यांग व्यक्ती अधिनियम, २०१६ याच्या संदर्भने राज्य शासन सेवेतील दिव्यांग पदासाठी कोणता निर्णय घेण्यात आला?
13	कोरोना विषाणूचा प्रादूर्भाव रोखण्याच्या दृष्टीने महाराष्ट्रातील लॉटरी विक्रेत्यांनी कोणती पाऊले उचलली?
14	कृषी पंपांना उच्चदाब वितरण प्रणालीद्वारे (HVDS) वीजजोडणी देण्याची योजना महाराष्ट्राच्या कोणत्या भागात लागू नाही?
15	कृषी पंपांना उच्चदाब वितरण प्रणालीद्वारे (HVDS) वीजजोडणी देण्यासाठी किती रकमेच्या कर्जास शासन हमी देण्यात आली आहे?  ही कर्ज उभारणी कोणत्या बँकेमार्फत केली जाणार आहे?
16	राज्य शासकीय कर्मचाऱ्यांना देण्यात येणाऱ्या ७ व्या वेतन आयोगाची थकबाकी मध्ये कोविड -१९ दरम्यान कोणते बदल करण्यात आले?
17	राज्य शासकीय कर्मचाऱ्यांना देण्यात येणाऱ्या ७ व्या वेतन आयोगाच्या दुसऱ्या आणि तिसऱ्या थकबाकी संदर्भात कोणते निर्णय घेण्यात आले?
18	केंद्र पुरस्कृत योजनांच्या निधीचे परिणामकारक व्यवस्थापन करण्याच्या तसेच निधी विनियोगाच्या प्रक्रियेत अधिक परिणामकारकता आणण्याच्या दृष्टीने कोणत्या कार्यपद्धतीचा अवलंब करण्यात आला? / कोणते निर्देश देण्यात आले आहेत?
19	सातव्या वेतन आयोगानुसार सेवानिवृत्त निवृत्तिवेतनधारकांना सुधारित अंशराशीकरणाचा लाभ देण्याबाबत कोणत्या सुधारणा निर्गमित करण्यात आल्या आहेत?
20	कार्यरत असलेल्या राज्य शासकीय अधिकारी/कर्मचारी व अखिल भारतीय सेवेतील अधिकारी यांचे करिता वैद्यकीय प्रतिपूर्तीची विमाछत्र योजनेचे नुतनीकरण करताना कोणकोणत्या अटी व शर्तींची पूर्तता करणे आवश्यक आहे?
21	निवृत्त झालेल्या राज्य शासकीय अधिकारी/कर्मचारी व अखिल भारतीय सेवेतील अधिकारी यांना वैद्यकीय प्रतिपूर्तीची विमाछत्र योजनेचा लाभ घेण्यासाठी कोणत्या अटी आहेत?
22	राज्य शासनाची शासकीय अधिकारी/कर्मचारी व अखिल भारतीय सेवेतील अधिकारी यांना वैद्यकीय प्रतिपूर्तीची विमाछत्र योजना कुटुंबातील किती सदस्यांना लागू होते? त्यासाठी कोणते निकष आहेत?
23	कोविड १९ च्या महामारीमुळे सन २०२१-२२ या वित्तीय वर्षात होणाऱ्या अर्थव्यवस्थेवरील परिणामाबाबत कोणत्या वित्तीय उपाययोजना करण्यात आल्या होत्या?
24	कोविड–१९ च्या संसर्गजन्य रोगामुळे सन २०२०-२१ या वित्तीय वर्षात होणाऱ्या अर्थव्यवस्थेवरील परिणामाबाबत करण्यात येणाऱ्या वित्तीय उपाय योजने अंतर्गत पदभरती संदर्भात कोणते निर्णय घेतले होते?
25	भारतीय कपास निगम यांच्या वतीने खरेदी केलेल्या कापसाची देणी शेतकऱ्यांना वेळीच अदा करण्यासाठी राज्य शासनाने दिलेल्या हमीला किती वेळेस मुदतवाढ देण्यात आली?
26	राज्यातील सार्वजनिक उपक्रमांना ७ व्या वेतन आयोगाच्या शिफारशीनुसार सुधारीत वेतनश्रेणी लागू करण्याबाबतचे निकष आय आहेत?
27	महाराष्ट्र विक्रीकर न्यायाधिकरणाकडे दाखल केलेली व बराच काळ प्रलंबित असलेली प्रकरणे त्वरीत निकालात काढण्यासाठी कोणकोणत्या ठिकाणी खंडपीठे आहेत? यापैकी कोणकोणत्या खंडपीठांना मुदतवाढ देण्यात आली?
28	महाराष्ट्र राज्य लॉटरी महाराष्ट्र गणपती भव्यतम सोडतीची बक्षिस रचना कशाप्रकारे आहे?
29	१ एप्रिल २०२० ते ३१ मार्च २०२१ या कालावधीत महाराष्ट्र राज्यात विक्री करण्यात आलेल्या अधिकृत लॉटरी योजनांची नावे आणि काय आहेत?
30	ऑगस्ट २०२१ मध्ये राज्य शासनाच्या अखत्यारीतील सार्वजनिक उपक्रम/ महामंडळे/महासंघ यांनी शासन हमीवर घेतलेल्या कर्जावरील हमीशुल्काबाबत कोणता महत्वाचा निर्णय घेण्यात आला होता?
31	१ एप्रिल २०२० ते ३१ मार्च २०२१ या कालावधीदरम्यान वित्त विभागाअंतर्गत एकूण किती पदांना मुदतवाढ देण्यात आली?
